,literal,media,varianta,deviatia standard,skewness,numarul de synset-uri cu zero propozitii,numar de propozitii
3978,nobilime,1.5666666666666667,0.24555555555555553,0.4955356249106168,-0.2690691175985248,1,30
3979,raționament,0.05,0.0475,0.21794494717703367,4.129483209670112,0,20
3980,spion,1.1,0.54,0.7348469228349535,-0.15876322406928045,1,41
3981,paradă,1.3333333333333333,0.8222222222222222,0.9067647005823629,-0.705408623900815,0,38
3982,mușchi,1.06,2.0564,1.434015341619468,1.0748489832606507,0,52
3983,piept,2.5172413793103448,2.8359096313912016,1.6840159237344525,0.6741792319970094,0,65
3984,necesitate,4.15,3.6025000000000005,1.8980252896102308,-0.4459874659612223,0,82
3985,pas,7.3125,32.21484375,5.675812166553787,0.610997406132335,8,175
3986,pai,0.29411764705882354,0.20761245674740483,0.4556450995538137,0.9036961141150639,0,22
3987,masă,7.977777777777778,21.69950617283951,4.658272874450305,0.11598896800336023,0,208
3988,marcă,3.52,0.5296000000000001,0.7277362159464101,-1.7819610384445481,1,289
3989,vaccin,0.7333333333333333,0.9288888888888887,0.9637888196533972,0.5533715710928598,1,35
3990,probabilitate,1.6111111111111112,1.8487654320987654,1.359693138946713,0.4615213112729402,0,37
3991,propoziție,1.0,0.5882352941176471,0.7669649888473704,0.0,0,44
3992,protejare,1.6388888888888888,3.619598765432099,1.9025243140186405,0.35440179687240986,1,208
3993,rugăciune,1.9142857142857141,1.449795918367347,1.2040747146117416,-0.5225980552627143,0,103
3994,întrunire,1.9333333333333333,0.06222222222222222,0.24944382578492943,-3.4743961448615166,1,116
3995,model,2.6000000000000005,13.440000000000001,3.6660605559646724,2.6497616064010567,3,180
3996,penitenciar,0.0,0.0,0.0,0.0,1,20
3997,plăcuță,0.05,0.0475,0.21794494717703367,4.129483209670112,0,20
3998,plăcere,2.3111111111111113,7.392098765432099,2.7188414380820554,0.6293366544507382,4,90
3999,notă,5.646616541353383,17.672112612357964,4.203821191768028,0.06463531766462252,1,133
4000,nebun,0.32075471698113206,1.6140975436098253,1.2704713863798056,4.130570440536399,5,53
4001,îngrijire,0.5,0.45,0.6708203932499369,0.9938079899999064,1,40
4002,punte,0.08,0.11359999999999999,0.33704599092705434,4.498069636900929,2,50
4003,val,3.1909090909090905,5.736280991735536,2.3950534423547913,-0.1622166730525425,5,110
4004,pat,0.5166666666666667,1.2497222222222222,1.1179097558489335,1.7477036073094587,3,73
4005,întoarcere,4.909090909090909,15.22809917355372,3.902319716982928,0.3290517179738788,3,115
4006,sare,1.0,0.45454545454545453,0.674199862463242,0.0,0,24
4007,stabilitate,1.6600000000000001,1.3844,1.1766052864066183,0.46129014976245847,0,51
4008,semnificație,1.6666666666666665,1.422222222222222,1.1925695879998877,-0.16159084993650796,0,30
4009,scandal,1.7,1.06,1.0295630140987,-0.063225211794954,0,44
4010,partidă,0.5,0.75,0.8660254037844386,1.8475208614068026,0,45
4011,pază,1.1,0.37,0.6082762530298219,-0.05331859047741394,2,67
4012,recunoaștere,5.133333333333333,10.815555555555555,3.2887011958454897,0.0535503880623211,0,182
4013,tatuaj,0.6666666666666666,0.2222222222222222,0.4714045207910317,-0.7071067811865472,0,17
4014,întindere,4.133333333333334,2.982222222222222,1.7269111795984824,-1.7595860278219895,3,79
4015,ritm,3.366666666666667,1.5655555555555556,1.2512216252748973,-1.3297248267978143,3,63
4016,vigoare,1.8909090909090909,0.2790082644628099,0.5282123289575982,1.7387303072211866,6,122
4017,prelungire,1.5,1.6785714285714284,1.2955969390869324,0.39413360935555397,0,195
4018,manevră,2.18,2.5076,1.5835403373454053,-0.26692684371979114,0,53
4019,modificare,4.066666666666666,7.5955555555555545,2.756003547812585,0.4274159303941273,1,90
4020,țintă,4.1525423728813555,11.925883366848606,3.4533872309442226,0.07357996382882148,4,98
4021,substanță,3.285714285714286,3.489795918367347,1.8680995472317172,-0.24766166358190525,0,70
4022,semnal,1.16,0.2944,0.5425863986500215,2.3450482863440567,1,58
4023,rază,3.2000000000000006,4.045714285714286,2.011396103634062,-0.14830747867454147,0,71
4024,recrutare,0.15,0.1275,0.3570714214271425,1.9603921176392138,0,20
4025,umbră,8.445454545454545,3.501570247933884,1.871248312740424,-3.922912125391229,6,110
4026,răsărit,1.54,0.8084,0.8991106717195609,-0.9452850577344949,1,50
4027,încurajare,0.7,0.8766666666666667,0.9363047936792093,0.6286341369466449,0,30
4028,reputație,4.428571428571429,0.30204081632653057,0.5495824017620384,-0.23183625786528783,4,73
4029,voie,1.8249999999999997,1.044375,1.0219466717984849,-0.20738749345342744,0,40
4030,revizuire,2.2432432432432434,1.8597516435354273,1.3637271147613907,-0.3169870357134301,0,37
4031,partizan,2.925,0.219375,0.4683748498798799,-6.084869844593309,2,40
4032,sinteză,2.26,1.3924,1.18,-0.8786487420817122,0,52
4033,ședere,1.0333333333333334,0.23222222222222222,0.4818944098266987,0.09002216946008168,0,35
4034,nebunie,2.783333333333333,2.136388888888889,1.4616391103445778,0.34655324571156965,1,61
4035,îndoială,1.54,2.7284,1.6517869111964776,0.46209235981954944,0,50
4036,vorbitor,2.4318181818181817,1.790805785123967,1.3382099181832299,-0.3662464163690502,0,46
4037,trandafir,0.3,0.6900000000000001,0.8306623862918076,2.9520704843640786,0,75
4038,segment,1.6333333333333335,0.4988888888888889,0.706320670013903,-1.6135983838453352,0,51
4039,monarh,0.95,0.0475,0.21794494717703367,-4.129483209670112,0,20
4040,valorificare,0.85,0.1275,0.3570714214271425,-1.9603921176392138,0,30
4041,mecanism,2.5571428571428574,1.903877551020408,1.3798106939071055,0.5663210648362194,0,100
4042,timbru,1.0625,0.68359375,0.8267972847076845,-0.1166290373857044,0,20
4043,manipulare,1.28125,1.1396484375,1.0675431782836702,0.19309526427314283,0,43
4044,stăpânire,5.090909090909091,9.391735537190083,3.0645938617033877,-0.18061717551934942,0,113
4045,pereche,2.3589743589743586,6.358316896778435,2.521570323583785,0.5279939992161748,0,78
4046,rotație,0.3666666666666667,0.4988888888888889,0.706320670013903,1.6135983838453343,0,30
4047,oprire,3.1999999999999997,2.126666666666667,1.4583095236151573,-0.05932922659728879,0,60
4048,încheietură,0.15,0.1275,0.3570714214271425,1.9603921176392138,0,35
4049,păpușă,2.25,3.7875,1.9461500456028564,0.18908449505797337,0,97
4050,păr,1.8166666666666667,1.0497222222222222,1.024559525953579,-0.2787756996376011,1,84
4051,subiect,5.308333333333333,12.446597222222223,3.527973529127199,0.021997039084755893,0,160
4052,palmă,3.45,0.5808333333333333,0.7621242243449117,-0.9606540636749228,3,83
4053,suspendare,1.8,0.27999999999999997,0.529150262212918,-2.591756386348988,2,50
4054,reînnoire,0.9,0.09000000000000001,0.30000000000000004,-2.666666666666666,0,22
4055,simț,2.45,3.1975,1.7881554742247665,-0.06256966254338037,0,44
4056,recomandare,3.1333333333333333,1.0488888888888888,1.024152766382481,-0.45483371654105625,2,60
4057,proprietate,5.363636363636363,12.376859504132229,3.5180761083484575,0.10303098946913448,5,111
4058,șampanie,0.3125,0.21484375,0.46351240544347894,0.8090398349558906,0,16
4059,platformă,1.12,1.4656,1.2106196760337244,1.0543158773308852,0,56
4060,târfă,0.7,0.27666666666666667,0.5259911279353167,-0.16492100977504454,0,30
4061,șasiu,0.5,0.25,0.5,0.0,0,10
4062,trai,0.95,0.0475,0.21794494717703367,-4.129483209670112,0,20
4063,lumină,4.321428571428571,11.503826530612242,3.391729135796702,0.0723723785952046,2,159
4064,porțiune,2.4833333333333334,3.7830555555555554,1.9450078548827394,-0.1515355031077933,0,87
4065,start,1.6666666666666665,1.1313131313131315,1.063632046956621,-0.5148576043622923,0,44
4066,prevedere,0.625,1.084375,1.0413332799829265,1.3263034475677202,0,40
4067,oaie,4.533333333333333,1.2822222222222222,1.132352516764202,-2.252127458108438,1,62
4068,rahat,1.8,2.0933333333333333,1.446835627614047,0.054148479308449016,1,77
